loggedAt,username,action,objectType,objectId,status,error
2026-06-12T00:51:34,ADMIN,LOGIN,DCT_USERS,ADMIN,FAILURE,Invalid credentials
2026-06-12T00:37:36,UAT.PWDTEST,LOGIN,,,SUCCESS,
2026-06-12T00:33:49,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T00:32:57,UAT.INACTIVE1,LOGIN,DCT_USERS,UAT.INACTIVE1,FAILURE,User not found
2026-06-12T00:32:54,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T00:32:51,ADMIN,LOGIN,DCT_USERS,ADMIN,FAILURE,Invalid credentials
2026-06-12T00:17:29,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T00:15:48,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T00:14:49,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T00:13:36,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T00:12:38,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T00:09:06,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T23:56:29,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T23:45:47,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T23:44:57,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T23:36:31,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T23:35:54,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T23:34:44,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T23:33:56,SHAIKHA.ALSUWAIDI,LOGIN,,,SUCCESS,
2026-06-11T23:33:55,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T23:33:22,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T23:25:56,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T23:23:48,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T23:22:26,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T23:21:38,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T23:20:13,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T23:14:36,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T23:11:54,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T23:06:39,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T23:04:51,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T23:04:30,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T23:04:21,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T23:02:48,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T22:58:45,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T22:58:28,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T22:58:08,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T22:57:48,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T22:57:13,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T22:51:27,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T22:51:14,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T22:45:18,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T22:42:28,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T22:33:14,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T22:31:32,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T22:29:05,ADMIN,LOGIN,,,SUCCESS,
2026-06-11T22:27:32,ADMIN,LOGIN,,,SUCCESS,
